id;date_of_application;education;experience;other_info;name
1;2021-04-19;Tuna;Tools;azure Shoes;Compatible
2;2021-04-19;Open-architected Swaziland;Clothing;orchid;Garden Automotive
3;2021-04-19;compelling;ADP;asymmetric Music;Sharable Vermont French
4;2021-04-19;Uganda Computers Assurance;Illinois Avon Decentralized;parsing;auxiliary Palau
5;2021-04-19;Product Borders;Research;South;Buckinghamshire digital challenge
6;2021-04-19;magenta;Personal networks;compress;orchid services Cambridgeshire
7;2021-04-19;Granite dot-com Applications;Concrete Towels;transmitting;copy generate
8;2021-04-19;Metal compress Computer;Gorgeous deposit deploy;reboot Mission;background systems
9;2021-04-19;Buckinghamshire strategize Consultant;transition Metal Home;haptic PNG Terrace;Berkshire
10;2021-04-19;Fiji Toys;Buckinghamshire methodology Soft;Computer;projection Missouri
